,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US02,02,Alaska,8710000US0299513,0299513,Alaska - ZCTA 99513,ZCTA 99513,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US04,04,Arizona,8710000US0485723,0485723,Arizona - ZCTA 85723,ZCTA 85723,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US04,04,Arizona,8710000US0485724,0485724,Arizona - ZCTA 85724,ZCTA 85724,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US04,04,Arizona,8710000US0485726,0485726,Arizona - ZCTA 85726,ZCTA 85726,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US05,05,Arkansas,8710000US0538769,0538769,Arkansas - ZCTA 38769 (part),ZCTA 38769 (part),,,,,,,,$(X),$(X)
0400000US05,05,Arkansas,8710000US0572149,0572149,Arkansas - ZCTA 72149,ZCTA 72149,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0690079,0690079,California - ZCTA 90079,ZCTA 90079,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0690090,0690090,California - ZCTA 90090,ZCTA 90090,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0690506,0690506,California - ZCTA 90506,ZCTA 90506,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0690747,0690747,California - ZCTA 90747,ZCTA 90747,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0690831,0690831,California - ZCTA 90831,ZCTA 90831,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0691608,0691608,California - ZCTA 91608,ZCTA 91608,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0692132,0692132,California - ZCTA 92132,ZCTA 92132,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0693410,0693410,California - ZCTA 93410,ZCTA 93410,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0694850,0694850,California - ZCTA 94850,ZCTA 94850,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US06,06,California,8710000US0695314,0695314,California - ZCTA 95314,ZCTA 95314,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880264,0880264,Colorado - ZCTA 80264,ZCTA 80264,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880290,0880290,Colorado - ZCTA 80290,ZCTA 80290,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880293,0880293,Colorado - ZCTA 80293,ZCTA 80293,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880294,0880294,Colorado - ZCTA 80294,ZCTA 80294,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880419,0880419,Colorado - ZCTA 80419,ZCTA 80419,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0880939,0880939,Colorado - ZCTA 80939,ZCTA 80939,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US08,08,Colorado,8710000US0881038,0881038,Colorado - ZCTA 81038,ZCTA 81038,,,,,,,,$(X),$(X)
